"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N615JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N615NK",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N615SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N616NK",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N616QX",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N616SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N617DL",1986,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N617NK",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N617QX",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N617SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N61881",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N61882",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N61886",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N61887",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N61898",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N618AS",2000,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N618DL",1986,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N618JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N618NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N618WN",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N619AS",2000,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N619NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N619SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N620NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N620SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N621JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N621NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N621SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N621VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N622AS",2000,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N622NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N622SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N622VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N623DL",1987,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N623JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N623NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N623SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N623VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N624AG",1993,"Fixed wing multi engine","BOEING","757-2Q8",2,178,NA,"Turbo-fan"
"N624JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N624NK",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N624SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N624VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N625AS",2001,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N625CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N625JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N625NK",NA,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N625SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N625VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N626AS",2001,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N626NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N626SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N626VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N627AS",2001,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N627DL",1987,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N627JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N627NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N627SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N627VA",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N62849",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62883",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62884",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62889",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62892",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62894",2016,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N62895",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N62896",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N628NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N628SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N628VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N629JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N629NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N629SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N629VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N630JB",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N630NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N630SK",2011,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N630VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N630WN",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N631NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N631SK",2011,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N631SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N631VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N632JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N632NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N632SK",2011,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N632SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N632VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N633DL",1987,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N633JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N633NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N633SK",2011,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N633SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N633VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N634JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N634NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N634SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N634VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N635DL",1988,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N635JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N635NK",2014,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N635SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N635VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N636JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N636NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N636VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N636WN",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N637JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N637NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N637SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N637VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N63820",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N63890",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N638JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N638NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N638SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N638VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N639JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N639NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N639SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N639VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N640JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N640NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N640SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N640VA",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N641CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N641JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N641NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N641SW",1996,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N641VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N642NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N642VA",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N642WN",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N643JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N643NK",2015,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N643SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N644AS",2003,"Fixed wing multi engine","BOEING","737-790",2,151,NA,"Turbo-fan"
"N644JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N644NK",2016,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N644SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N645JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N645NK",2016,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N645SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N646JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N646NK",2016,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N646SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N647AA",1985,"Fixed wing single engine","GRAHAM JERRY","FALCON-XP",1,2,NA,"Reciprocating"
"N647AW",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N647SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N647UA",1992,"Fixed wing multi engine","BOEING","767-322",2,330,NA,"Turbo-fan"
"N64809",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N64844",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N648JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N648SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N649AA",1991,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N649AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N649JB",2006,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N650AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N650SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N651AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N651JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N651SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N652AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N652BR",2000,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N652JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N652SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N653AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N653JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N653SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N654AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N654SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N655AA",1991,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N655AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N655JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N655WN",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N656AA",1991,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N656AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N656JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N656SW",1997,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N657AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N657JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N657SW",1985,"Fixed wing multi engine","BOEING","737-3L9",2,149,NA,"Turbo-fan"
"N65832",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N658AA",1991,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N658AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N658JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N658SW",1985,"Fixed wing multi engine","BOEING","737-3L9",2,149,NA,"Turbo-fan"
"N659AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N659AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N659DL",1990,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N659JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N659SW",1985,"Fixed wing multi engine","BOEING","737-301",2,149,NA,"Turbo-fan"
"N660AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N660UA",1993,"Fixed wing multi engine","BOEING","767-322",2,330,NA,"Turbo-fan"
"N661AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N661DN",1990,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N661JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N662AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N662AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N662DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N662JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N662US",1988,"Fixed wing multi engine","BOEING","747-451",4,450,NA,"Turbo-fan"
"N663AA",1979,"Fixed wing multi engine","CESSNA","402C",2,10,NA,"Reciprocating"
"N663AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N663JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N663SW",1985,"Fixed wing multi engine","BOEING","737-3Q8",2,149,NA,"Turbo-fan"
"N664AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N664DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N665AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N665AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N665DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N665JB",2007,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N666DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N667AW",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N667DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N667US",1990,"Fixed wing multi engine","BOEING","747-451",4,450,NA,"Turbo-fan"
"N66803",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66808",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66814",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66825",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66828",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66831",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66837",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66841",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66848",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66893",2016,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N66897",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N668AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N668AW",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N668DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N669AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N669AW",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N669DN",1991,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6700",1999,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6701",1999,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6702",1999,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6703D",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6704Z",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6705Y",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6706Q",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6707A",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6708D",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6709",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N670DN",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6710E",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6711M",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6712B",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N67134",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N6713Y",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6714Q",2000,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6715C",2001,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N6716C",2001,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N67171",2001,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N671DN",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N672AA",1992,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N672DL",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N673AW",NA,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N673DL",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N674DL",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N674US",1999,"Fixed wing multi engine","BOEING","747-451",4,450,NA,"Turbo-fan"
"N675DL",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N676DL",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N67812",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N67815",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N67827",2014,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N67845",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N67846",2015,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N678AW",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N678DL",1998,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N679AW",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N679CA",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N679DA",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N679SA",NA,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N680AW",2005,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N680DA",1992,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N681DA",1993,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N682DA",1993,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N683DA",1993,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
"N68452",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N68453",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N684DA",1993,"Fixed wing multi engine","BOEING","757-232",2,178,NA,"Turbo-fan"
